India,27575000,2013
China,12370238,2013
Philippines,8645749,2013
Brazil,6892622,2013
Ecuador,5995527,2013
Indonesia,5359115,2013
Guatemala,3188050,2013
Angola,3095013,2013
Tanzania,2678680,2013
Burundi,2235697,2013
Costa Rica,2174986,2013
Mexico,2127772,2013
Colombia,2098625,2013
Vietnam,1892523,2013
Thailand,1600000,2013
Cameroon,1538085,2013
Kenya,1398154,2013
Papua New Guinea,1211990,2013
Egypt,1144717,2013
Dominican Republic,972055,2013
Honduras,880000,2013
Bangladesh,774000,2013
Uganda,577721,2013
Venezuela,459352,2013
Mozambique,450000,2013
Laos,401543,2013
South Africa,389703,2013
Malawi,386345,2013
Spain,361000,2013
Madagascar,355000,2013
Australia,330340,2013
Democratic Republic of the Congo,323000,2013
Côte d'Ivoire,320000,2013
Panama,313000,2013
Morocco,302469,2013
Ethiopia,300000,2013
Taiwan,295000,2013
Malaysia,290479,2013
Haiti,270000,2013
Peru,239257,2013
Guinea,215927,2013
Turkey,215472,2013
Nepal,182000,2013
Mali,181430,2013
Argentina,179824,2013
Bolivia,173572,2013
Cambodia,155259,2013
Cuba,150336,2013
Israel,139399,2013
Iran,134050,2013
Liberia,132046,2013
Lebanon,130279,2013
Central African Republic,129129,2013
Yemen,126332,2013
Pakistan,115552,2013
Republic of the Congo,103901,2013
Belize,102000,2013
Zimbabwe,100000,2013
Suriname,85584,2013
Ghana,84240,2013
Oman,67165,2013
Comoros,64598,2013
Saint Vincent and the Grenadines,63739,2013
Paraguay,62400,2013
Jordan,42008,2013
São Tomé and Príncipe,41120,2013
Somalia,39000,2013
Nicaragua,37227,2013
Jamaica,37211,2013
Senegal,33444,2013
Equatorial Guinea,29979,2013
Dominica,23403,2013
Togo,23198,2013
Saint Lucia,21278,2013
Portugal,21204,2013
Samoa,19603,2013
Benin,18143,2013
Gabon,17143,2013
Vanuatu,15583,2013
Bahamas,10306,2013
Mauritius,10181,2013
Cape Verde,10033,2013
Guinea-Bissau,7592,2013
Kiribati,6978,2013
United States,6525,2013
Swaziland,6167,2013
Cyprus,6150,2013
Guyana,5168,2013
Fiji,3475,2013
Trinidad and Tobago,3392,2013
Grenada,3295,2013
Greece,2904,2013
Micronesia,2021,2013
Seychelles,2017,2013
Bhutan,1479,2013
Bahrain,1017,2013
Barbados,971,2013
Brunei,891,2013
Tonga,792,2013
Zambia,680,2013
East Timor,677,2013
Italy,347,2013
Algeria,335,2013
Tuvalu,270,2013
Antigua and Barbuda,257,2013
Solomon Islands,247,2013
United Arab Emirates,205,2013
Maldives,154,2013
Syria,147,2013
Japan,126,2013
Rwanda,50,2013