 Nederland , Totale oppervlakte , Totale oppervlakte  , 4152618 , 4152803 , 4152795 , 4154307 , 4154307 , 4154307 , 4154302 
 Nederland , Verkeersterrein , Totaal verkeersterrein  , 112503 , 113039 , 114268 , 115955 , 117149 , 117602 , 116123 
 Nederland , Bebouwd terrein , Totaal bebouwd terrein , 304823 , 318330 , 328867 , 337927 , 344874 , 350161 , 355986 
 Nederland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 37780 , 48573 , 50615 , 52849 , 51391 , 51202 , 51002 
 Nederland , Recreatieterrein , Totaal recreatieterrein  , 86166 , 88877 , 93702 , 96311 , 97659 , 98834 , 102561 
 Nederland , Agrarisch terrein , Totaal agrarisch terrein  , 2360382 , 2326047 , 2304074 , 2285799 , 2275827 , 2264376 , 2252233 
 Nederland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 478396 , 483463 , 484090 , 484024 , 485003 , 486528 , 490088 
 Nederland , Binnenwater , Totaal binnenwater  , 355267 , 357440 , 359815 , 362628 , 363529 , 366121 , 367982 
 Groningen , Totale oppervlakte , Totale oppervlakte ,  296709 , 296790 , 296790 , 296003 , 296003 , 296005 , 295964 
 Groningen , Verkeersterrein , Totaal verkeersterrein  , 6347 , 6377 , 6456 , 6489 , 6414 , 6589 , 6485 
 Groningen , Bebouwd terrein , Totaal bebouwd terrein  , 13915 , 14552 , 15078 , 15505 , 15711 , 15782 , 16048 
 Groningen , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 3087 , 3757 , 3262 , 3792 , 3935 , 4259 , 4195 
 Groningen , Recreatieterrein , Totaal recreatieterrein  , 3515 , 3627 , 3669 , 3739 , 3823 , 3763 , 3848 
 Groningen , Agrarisch terrein , Totaal agrarisch terrein  , 194706 , 192296 , 190443 , 188821 , 188340 , 187642 , 187482 
 Groningen , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 12151 , 12990 , 14488 , 14229 , 14316 , 14432 , 14455 
 Groningen , Binnenwater , Totaal binnenwater  , 6541 , 6694 , 6982 , 7756 , 7787 , 8071 , 8017 
 Friesland , Totale oppervlakte , Totale oppervlakte  , 574074 , 574087 , 574087 , 574874 , 574874 , 574875 , 574876 
 Friesland , Verkeersterrein , Totaal verkeersterrein  , 8622 , 8731 , 8736 , 8666 , 8618 , 8838 , 8436 
 Friesland , Bebouwd terrein , Totaal bebouwd terrein  , 14197 , 15309 , 15910 , 16671 , 16987 , 17282 , 17607 
 Friesland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 2047 , 2627 , 2734 , 2905 , 3093 , 3015 , 2989 
 Friesland , Recreatieterrein , Totaal recreatieterrein  , 4380 , 4607 , 4682 , 4864 , 4989 , 5003 , 5251 
 Friesland , Agrarisch terrein , Totaal agrarisch terrein  , 267794 , 264947 , 263577 , 262091 , 261199 , 260184 , 259759 
 Friesland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 38324 , 38706 , 38463 , 38896 , 39110 , 38211 , 38322 
 Friesland , Binnenwater , Totaal binnenwater  , 64418 , 65054 , 65339 , 65621 , 65732 , 66240 , 66288 
 Drenthe , Totale oppervlakte , Totale oppervlakte  , 268049 , 268038 , 268037 , 268037 , 268037 , 268034 , 268043 
 Drenthe , Verkeersterrein , Totaal verkeersterrein  , 6713 , 6769 , 6861 , 6836 , 6883 , 7073 , 7058 
 Drenthe , Bebouwd terrein , Totaal bebouwd terrein  , 12515 , 13175 , 13653 , 14215 , 14597 , 14796 , 15191 
 Drenthe , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 1748 , 2116 , 2542 , 2652 , 2492 , 2619 , 2217 
 Drenthe , Recreatieterrein , Totaal recreatieterrein  , 4332 , 4420 , 4768 , 4943 , 5082 , 5097 , 5355 
 Drenthe , Agrarisch terrein , Totaal agrarisch terrein  , 197166 , 194703 , 193157 , 191758 , 191328 , 189759 , 188710 
 Drenthe , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 42145 , 43017 , 43127 , 43493 , 43510 , 44254 , 44897 
 Drenthe , Binnenwater , Totaal binnenwater  , 3430 , 3838 , 3928 , 4140 , 4145 , 4435 , 4615 
 Overijssel , Totale oppervlakte , Totale oppervlakte  , 342004 , 342085 , 342086 , 342086 , 342086 , 342086 , 342074 
 Overijssel , Verkeersterrein , Totaal verkeersterrein  , 10120 , 10135 , 10259 , 10219 , 10354 , 10640 , 10589 
 Overijssel , Bebouwd terrein , Totaal bebouwd terrein  , 21606 , 22751 , 23493 , 24273 , 24886 , 25200 , 25642 
 Overijssel , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 1899 , 2716 , 2927 , 3172 , 2951 , 3440 , 3710 
 Overijssel , Recreatieterrein , Totaal recreatieterrein  , 6126 , 6228 , 6641 , 6867 , 7002 , 6985 , 7102 
 Overijssel , Agrarisch terrein , Totaal agrarisch terrein  , 246071 , 243627 , 242848 , 241525 , 240660 , 239955 , 239298 
 Overijssel , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 46918 , 47216 , 46394 , 46463 , 46613 , 46049 , 45892 
 Overijssel , Binnenwater , Totaal binnenwater  , 9264 , 9413 , 9525 , 9568 , 9621 , 9817 , 9843 
 Flevoland , Totale oppervlakte , Totale oppervlakte  , 241230 , 241230 , 241230 , 241230 , 241230 , 241230 , 241231 
 Flevoland , Verkeersterrein , Totaal verkeersterrein  , 3451 , 3434 , 3458 , 3405 , 3390 , 3402 , 3351 
 Flevoland , Bebouwd terrein , Totaal bebouwd terrein  , 5774 , 6755 , 7335 , 7866 , 8180 , 8353 , 8638 
 Flevoland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 2368 , 2674 , 3120 , 2907 , 3212 , 2795 , 2608 
 Flevoland , Recreatieterrein , Totaal recreatieterrein  , 3530 , 3775 , 3998 , 4253 , 4405 , 4508 , 4637 
 Flevoland , Agrarisch terrein , Totaal agrarisch terrein  , 104716 , 102842 , 100960 , 100524 , 99697 , 98950 , 98852 
 Flevoland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 22088 , 22450 , 22879 , 22634 , 22657 , 23342 , 23167 
 Flevoland , Binnenwater , Totaal binnenwater  , 99304 , 99300 , 99480 , 99641 , 99688 , 99879 , 99977 
 Gelderland , Totale oppervlakte , Totale oppervlakte  , 514338 , 513651 , 513651 , 513651 , 513651 , 513651 , 513630 
 Gelderland , Verkeersterrein , Totaal verkeersterrein  , 15785 , 15630 , 15902 , 16246 , 16386 , 16316 , 16270 
 Gelderland , Bebouwd terrein , Totaal bebouwd terrein  , 40196 , 41603 , 42878 , 44174 , 44654 , 45200 , 46480 
 Gelderland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 3498 , 4214 , 5472 , 5262 , 5476 , 5906 , 5019 
 Gelderland , Recreatieterrein , Totaal recreatieterrein  , 11778 , 12118 , 12750 , 12903 , 12990 , 13095 , 13601 
 Gelderland , Agrarisch terrein , Totaal agrarisch terrein  , 311871 , 308122 , 305897 , 304464 , 303283 , 301844 , 300518 
 Gelderland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 115169 , 115819 , 114277 , 113951 , 114172 , 114460 , 114830 
 Gelderland , Binnenwater , Totaal binnenwater  , 16042 , 16145 , 16475 , 16651 , 16691 , 16830 , 16912 
 Utrecht , Totale oppervlakte , Totale oppervlakte  , 143424 , 143942 , 144912 , 144912 , 144912 , 144912 , 144913 
 Utrecht , Verkeersterrein , Totaal verkeersterrein  , 5029 , 5115 , 5415 , 5625 , 5755 , 5803 , 5879 
 Utrecht , Bebouwd terrein , Totaal bebouwd terrein  , 19541 , 20181 , 21174 , 21636 , 22126 , 22309 , 22770 
 Utrecht , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 1176 , 1935 , 2114 , 2524 , 2310 , 2383 , 1986 
 Utrecht , Recreatieterrein , Totaal recreatieterrein  , 4870 , 4997 , 4991 , 5230 , 5308 , 5377 , 5423 
 Utrecht , Agrarisch terrein , Totaal agrarisch terrein  , 84453 , 83272 , 84175 , 82833 , 82233 , 81672 , 81186 
 Utrecht , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 20624 , 20658 , 20632 , 20533 , 20583 , 20642 , 20786 
 Utrecht , Binnenwater , Totaal binnenwater  , 7731 , 7785 , 6410 , 6530 , 6597 , 6726 , 6884 
 Noord-Holland , Totale oppervlakte , Totale oppervlakte  , 405909 , 405909 , 409176 , 409176 , 409176 , 409176 , 409191 
 Noord-Holland , Verkeersterrein , Totaal verkeersterrein  , 11217 , 11252 , 11566 , 11866 , 12121 , 12088 , 11799 
 Noord-Holland , Bebouwd terrein , Totaal bebouwd terrein  , 40154 , 41262 , 42319 , 43313 , 44189 , 44629 , 45161 
 Noord-Holland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 4498 , 6173 , 6412 , 5833 , 5899 , 5860 , 5706 
 Noord-Holland , Recreatieterrein , Totaal recreatieterrein  , 12012 , 12272 , 13398 , 13706 , 13753 , 13931 , 14740 
 Noord-Holland , Agrarisch terrein , Totaal agrarisch terrein  , 167652 , 164401 , 162767 , 161264 , 160079 , 159416 , 158055 
 Noord-Holland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 29769 , 30188 , 30641 , 30608 , 30506 , 30467 , 30768 
 Noord-Holland , Binnenwater , Totaal binnenwater  , 71611 , 71655 , 73478 , 73852 , 73890 , 74098 , 74337 
 Zuid-Holland , Totale oppervlakte , Totale oppervlakte  , 344575 , 344575 , 340338 , 341850 , 341850 , 341850 , 341880 
 Zuid-Holland , Verkeersterrein , Totaal verkeersterrein  , 13002 , 13086 , 13069 , 13377 , 13486 , 13252 , 13239 
 Zuid-Holland , Bebouwd terrein , Totaal bebouwd terrein  , 48683 , 50450 , 51929 , 53278 , 54576 , 55569 , 56186 
 Zuid-Holland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 6482 , 8583 , 8696 , 9089 , 8134 , 7504 , 8280 
 Zuid-Holland , Recreatieterrein , Totaal recreatieterrein  , 14311 , 14597 , 15323 , 15695 , 15711 , 15890 , 16637 
 Zuid-Holland , Agrarisch terrein , Totaal agrarisch terrein  , 183134 , 178300 , 171731 , 168762 , 167855 , 167199 , 164482 
 Zuid-Holland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 20329 , 20741 , 20720 , 20823 , 21049 , 21114 , 22537 
 Zuid-Holland , Binnenwater , Totaal binnenwater  , 41489 , 41659 , 41680 , 42127 , 42334 , 42711 , 43018 
 Zeeland , Totale oppervlakte , Totale oppervlakte  , 293190 , 293398 , 293389 , 293389 , 293389 , 293389 , 293344 
 Zeeland , Verkeersterrein , Totaal verkeersterrein  , 7348 , 7412 , 7597 , 7634 , 7675 , 7418 , 7193 
 Zeeland , Bebouwd terrein , Totaal bebouwd terrein  , 9545 , 9918 , 10382 , 10660 , 11026 , 11227 , 11621 
 Zeeland , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 3137 , 3871 , 3302 , 3846 , 3544 , 3434 , 3433 
 Zeeland , Recreatieterrein , Totaal recreatieterrein  , 3766 , 3957 , 4125 , 4226 , 4293 , 4413 , 4659 
 Zeeland , Agrarisch terrein , Totaal agrarisch terrein  , 143003 , 141500 , 140345 , 138790 , 138381 , 138109 , 137318 
 Zeeland , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 11960 , 12144 , 12962 , 13451 , 13497 , 13775 , 14060 
 Zeeland , Binnenwater , Totaal binnenwater  , 14008 , 14034 , 14155 , 14236 , 14369 , 14396 , 14522 
 Noord-Brabant , Totale oppervlakte , Totale oppervlakte  , 508185 , 508176 , 508176 , 508176 , 508176 , 508176 , 508206 
 Noord-Brabant , Verkeersterrein , Totaal verkeersterrein  , 16923 , 17057 , 16895 , 17574 , 17746 , 17847 , 17699 
 Noord-Brabant , Bebouwd terrein , Totaal bebouwd terrein  , 52739 , 55450 , 56979 , 57978 , 58718 , 60126 , 60862 
 Noord-Brabant , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 4654 , 6118 , 6295 , 6737 , 7328 , 6870 , 7137 
 Noord-Brabant , Recreatieterrein , Totaal recreatieterrein  , 11534 , 12066 , 12942 , 13187 , 13300 , 13690 , 14089 
 Noord-Brabant , Agrarisch terrein , Totaal agrarisch terrein  , 322640 , 316958 , 314204 , 312302 , 310522 , 308569 , 306417 
 Noord-Brabant , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 83753 , 84281 , 84334 , 83787 , 83827 , 84250 , 84626 
 Noord-Brabant , Binnenwater , Totaal binnenwater  , 15943 , 16246 , 16526 , 16611 , 16735 , 16824 , 17377 
 Limburg , Totale oppervlakte , Totale oppervlakte  , 220929 , 220922 , 220922 , 220922 , 220922 , 220922 , 220950 
 Limburg , Verkeersterrein , Totaal verkeersterrein  , 7946 , 8042 , 8052 , 8019 , 8321 , 8335 , 8124 
 Limburg , Bebouwd terrein , Totaal bebouwd terrein  , 25957 , 26925 , 27737 , 28359 , 29225 , 29687 , 29781 
 Limburg , Semi-bebouwd terrein , Totaal semi-bebouwd terrein  , 3185 , 3789 , 3739 , 4130 , 3018 , 3117 , 3724 
 Limburg , Recreatieterrein , Totaal recreatieterrein  , 6013 , 6215 , 6415 , 6698 , 7004 , 7080 , 7220 
 Limburg , Agrarisch terrein , Totaal agrarisch terrein  , 137176 , 135082 , 133971 , 132665 , 132250 , 131077 , 130157 
 Limburg , Bos en open natuurlijk terrein , Totaal  bos en open natuurlijk terrein  , 35166 , 35253 , 35174 , 35156 , 35164 , 35531 , 35751 
 Limburg , Binnenwater , Totaal binnenwater  , 5486 , 5617 , 5835 , 5894 , 5940 , 6094 , 6193 
