Date,Avg,High,Low
20150101,54,80,40
20150102,61,90,40
20150103,33,50,10
20150104,24,30,20
20150105,30,50,10
20150106,32,40,20
20150107,42,60,20
20150108,53,70,30
20150109,81,110,50
20150110,84,110,50
20150111,64,80,50
20150112,81,100,60
20150113,64,90,50
20150114,58,90,40
20150115,79,110,50
20150116,46,90,20
20150117,38,60,20
20150118,29,40,10
20150119,12,20,10
20150120,18,30,10
20150121,30,40,20
20150122,33,50,20
20150123,24,60,10
20150124,33,60,10
20150125,26,40,10
20150126,35,40,30
20150127,28,40,20
20150128,62,100,30
20150129,45,70,10
20150130,30,50,20
20150131,23,40,10
20150201,24,40,10
20150202,27,40,20
20150203,20,40,10
20150204,21,40,10
20150205,31,50,10
20150206,49,60,30
20150207,24,40,10
20150208,45,70,20
20150209,30,40,20
20150210,23,30,20
20150211,25,40,10
20150212,19,20,10
20150213,43,60,20
20150214,42,50,30
20150215,29,50,10
20150216,20,40,10
20150217,22,40,10
20150218,32,50,10
20150219,52,70,30
20150220,50,60,30
20150221,25,40,10
20150222,48,100,20
20150223,65,90,40
20150224,54,80,20
20150225,32,60,10
20150226,45,60,30
20150227,32,40,20
20150228,54,80,20
20150301,67,90,40
20150302,57,80,30
20150303,49,70,30
20150304,44,70,20
20150305,28,40,20
20150306,32,40,20
20150307,46,70,30
20150308,34,60,20
20150309,28,40,0
20150310,26,40,10
20150311,18,40,0
20150312,31,60,10
20150313,40,60,20
20150314,38,50,20
20150315,45,60,30
20150316,26,40,10
20150317,16,40,0
20150318,29,40,10
20150319,20,30,10
20150320,23,30,10
20150321,48,70,30
20150322,35,60,10
20150323,21,50,10
20150324,20,30,10
20150325,23,30,10
20150326,43,70,10
20150327,42,70,10
20150328,49,80,20
20150329,72,110,40
20150330,63,80,40
20150331,94,120,60
20150401,67,90,50
20150402,51,70,30
20150403,23,30,10
20150404,38,60,20
20150405,24,40,10
20150406,12,20,0
20150407,23,40,0
20150408,15,30,10
20150409,14,30,10
20150410,13,30,0
20150411,41,70,20
20150412,52,80,20
20150413,25,40,0
20150414,34,70,10
20150415,34,60,10
20150416,37,60,10
20150417,40,60,20
20150418,39,60,20
20150419,16,40,0
20150420,30,50,20
20150421,32,60,10
20150422,34,60,10
20150423,17,30,0
20150424,30,60,0
20150425,34,50,20
20150426,30,40,20
20150427,38,50,10
20150428,34,70,0
20150429,39,70,20
20150430,41,70,20
20150501,26,50,10
20150502,16,40,0
20150503,48,60,30
20150504,41,50,20
20150505,63,110,20
20150506,63,80,30
20150507,36,70,10
20150508,18,30,10
20150509,58,80,20
20150510,20,40,10
20150511,33,60,10
20150512,36,70,10
20150513,30,50,10
20150514,30,50,10
20150515,32,50,10
20150516,33,50,10
20150517,29,50,10
20150518,45,70,20
20150519,53,80,30
20150520,36,50,10
20150521,24,50,0
20150522,27,40,10
20150523,31,50,10
20150524,19,40,10
20150525,28,50,10
20150526,30,60,10
20150527,27,50,10
20150528,39,60,10
20150529,45,70,20
20150530,38,60,10
20150531,43,70,20
20150601,35,50,10
20150602,75,90,50
20150603,34,60,0
20150604,25,40,0
20150605,30,40,10
20150606,37,50,20
20150607,28,50,10
20150608,40,70,0
20150609,42,60,20
20150610,44,60,30
20150611,42,50,30
20150612,33,50,20
20150613,51,70,20
20150614,25,50,0
20150615,43,50,20
20150616,19,40,0
20150617,38,60,10
20150618,37,50,20
20150619,28,40,10
20150620,16,30,10
20150621,27,50,10
20150622,29,50,10
20150623,33,60,20
20150624,29,50,10
20150625,20,30,10
20150626,20,40,0
20150627,32,50,0
20150628,23,40,10
20150629,21,40,0
20150630,25,40,10
20150701,40,60,20
20150702,32,50,20
20150703,24,50,0
20150704,34,40,10
20150705,28,70,10
20150706,34,60,0
20150707,43,70,10
20150708,44,60,30
20150709,35,60,10
20150710,23,40,10
20150711,28,50,10
20150712,46,70,30
20150713,38,50,30
20150714,30,40,0
20150715,26,40,0
20150716,18,50,10
20150717,52,80,30
20150718,30,50,10
20150719,28,50,0
20150720,26,40,10
20150721,43,60,20
20150722,35,50,20
20150723,23,30,10
20150724,20,50,10
20150725,55,110,20
20150726,35,60,10
20150727,62,80,50
20150728,51,70,30
20150729,48,80,20
20150730,28,50,10
20150731,18,30,0
20150801,14,30,0
20150802,20,30,10
20150803,29,50,10
20150804,32,50,10
20150805,29,50,20
20150806,25,60,10
20150807,22,40,10
20150808,29,40,10
20150809,12,20,0
20150810,15,30,0
20150811,21,30,10
20150812,39,50,30
20150813,41,60,30
20150814,27,50,10
20150815,27,50,10
20150816,27,40,20
20150817,32,40,20
20150818,37,50,20
20150819,24,40,10
20150820,23,40,0
20150821,18,30,10
20150822,35,50,20
20150823,48,100,10
20150824,36,70,0
20150825,53,80,40
20150826,47,70,20
20150827,39,60,20
20150828,28,50,10
20150829,20,30,10
20150830,24,40,20
20150831,29,40,10
20150901,33,50,20
20150902,23,40,0
20150903,25,40,10
20150904,43,70,20
20150905,32,60,10
20150906,30,40,20
20150907,28,40,20
20150908,18,30,0
20150909,28,60,10
20150910,40,60,30
20150911,31,50,20
20150912,28,50,10
20150913,35,60,10
20150914,38,60,20
20150915,51,70,20
20150916,45,70,20
20150917,43,80,30
20150918,32,50,10
20150919,18,30,10
20150920,25,50,10
20150921,36,50,20
20150922,28,50,10
20150923,24,40,10
20150924,35,60,20
20150925,17,30,0
20150926,17,30,0
20150927,23,40,10
20150928,20,40,10
20150929,38,60,10
20150930,41,70,20
20151001,32,60,10
20151002,24,40,10
20151003,14,20,0
20151004,15,40,0
20151005,30,50,10
20151006,25,40,10
20151007,34,50,20
20151008,21,30,10
20151009,13,20,0
20151010,33,40,20
20151011,41,60,20
20151012,27,40,20
20151013,34,60,0
20151014,23,60,0
20151015,17,30,10
20151016,17,30,10
20151017,15,20,10
20151018,12,20,0
20151019,16,20,10
20151020,17,30,0
20151021,33,50,10
20151022,31,40,10
20151023,21,40,10
20151024,24,40,20
20151025,15,20,10
20151026,32,50,10
20151027,26,40,20
20151028,27,30,10
20151029,21,40,10
20151030,28,40,20
20151031,31,40,20
20151101,15,20,10
20151102,17,40,10
20151103,20,30,10
20151104,31,40,20
20151105,33,40,20
20151106,47,60,30
20151107,49,80,30
20151108,36,60,10
20151109,58,80,40
20151110,62,80,50
20151111,49,60,40
20151112,37,50,30
20151113,54,70,40
20151114,51,80,40
20151115,75,90,50
20151116,59,80,40
20151117,66,110,40
20151118,80,110,40
20151119,58,80,40
20151120,34,40,30
20151121,32,60,10
20151122,25,40,10
20151123,29,50,10
20151124,60,80,40
20151125,23,40,10
20151126,17,20,10
20151127,43,70,20
20151128,60,100,30
20151129,73,110,50
20151130,61,90,30
20151201,33,60,10
20151202,48,50,40
20151203,46,60,30
20151204,55,70,30
20151205,73,90,60
20151206,65,80,40
20151207,31,40,20
20151208,44,50,30
20151209,39,50,20
20151210,55,70,40
20151211,50,70,30
20151212,54,110,20
20151213,24,90,0
20151214,26,40,20
20151215,24,40,10
20151216,42,50,30
20151217,44,50,30
20151218,43,60,30
20151219,43,50,30
20151220,46,60,40
20151221,68,100,40
20151222,78,90,50
20151223,58,80,30
20151224,55,80,40
20151225,51,80,30
20151226,67,80,50
20151227,57,70,40
20151228,37,50,20
20151229,33,50,20
20151230,55,80,30
20151231,53,80,40
